Name,SEASON,GP,MIN,FG_PCT,FG3M,FT_PCT,REB,AST,TOV,STL,BLK,PTS,z_score_total
Nikola Jokic,2021-22,0.991187031944797,1.3819421318582807,1.552374841678488,0.14895480198586702,0.3931716448979375,4.166816019190164,3.049422871388792,-3.0812237893581558,2.0274299189968406,1.1644275498775432,2.7295344684083993,14.524037490868954
Joel Embiid,2021-22,0.6929237957305359,1.4214719926303776,0.5210827189470355,0.2635997900311689,0.42208313500001776,3.2571463831302085,1.034888199804042,-2.237289969671997,0.9719850846615633,2.719099091836407,3.3011928119776623,12.368183034077022
LeBron James,2021-22,0.09639732330201392,1.869477081380816,0.8280148983313967,1.9832746107106993,0.0028665285198534755,1.7410303230302844,2.123825860120123,-2.7195378666355166,1.499707501829202,1.6826513971971648,3.252193525386011,12.359901183172049
Giannis Antetokounmpo,2021-22,0.6432132563614924,1.3028824103140857,1.1840562264172558,-0.08033517410473699,-0.24288113734782904,3.213828781413068,1.9060383280569069,-2.4784139181537563,0.9719850846615633,2.459987168176596,3.186861143263809,12.067222169058454
Dejounte Murray,2021-22,0.6929237957305359,1.5532381952040357,0.06682309345818158,0.2635997900311689,0.2775256844896163,1.7843479247474257,3.7572323505942444,-1.6344800984675978,3.3467359619159374,-0.39024399208132066,1.7495487365753772,11.467251442197606
Rudy Gobert,2021-22,0.5935027169924489,1.1974694482551596,3.148422174477165,-1.3414300426030594,-0.4741730581644706,4.556674434644429,-0.6529651736858839,-0.6699843045405585,-0.08345974967371436,4.273770633795271,0.8512284823951066,11.399055561891894
Stephen Curry,2021-22,0.4940816382543619,1.5137083344319389,-0.24010908592617966,3.8175944194355322,1.209921240281705,0.4415022715160639,2.1782727431359272,-2.3578519439128773,1.499707501829202,-0.13113206842151004,2.4682049399195933,10.893899990543758
Fred VanVleet,2021-22,0.5437921776234054,1.961713423182376,-0.6575368498889103,2.900434515073116,0.8557554865312214,0.09496145777893843,2.3960602751991438,-1.6344800984675978,2.55515233616448,0.12797985523830052,1.618883972330974,10.762716550765449
Luka Doncic,2021-22,0.5437921776234054,1.6322979167482308,0.0054366575813093255,2.2125645868013035,-0.08386794178638741,2.1308887384845505,3.4849979355152243,-3.9251576090443154,1.2358462932453824,0.3870917788981114,2.9418647103055537,10.565755244372369
Kevin Durant,2021-22,0.046686783932970426,1.869477081380816,0.7543511752791501,1.0661147063482834,1.1159588974499441,1.3944895092931593,2.2327196261517313,-2.7195378666355166,0.44426266749392435,1.1644275498775432,3.186861143263809,10.555811273835815
Anthony Davis,2021-22,-0.698971306602682,1.592768055976134,0.9262331957343923,-0.9974950784671534,-0.3079319900775097,2.4774295522216767,0.43597248663019733,-1.0316702272631983,1.2358462932453824,4.791994481114892,2.0925437427169347,10.516719205229066
Karl-Anthony Towns,2021-22,0.991187031944797,1.3819421318582807,0.8894013342082691,0.9514697183029812,0.47990611520417836,2.434111950504536,0.7082069017092176,-2.237289969671997,0.7081238760777437,1.6826513971971648,2.32120708014464,10.310917567479812
Jayson Tatum,2021-22,1.090608110682884,1.6981810180350598,-0.04367249112018847,2.0979195987560018,0.7039701634952998,1.6543951195960032,1.1437819658356503,-1.9961660211902372,0.7081238760777437,0.3870917788981114,2.696868277347298,10.141101396413626
LaMelo Ball,2021-22,1.0408975713138404,1.2238226887698906,-0.3383273833291753,1.9832746107106993,0.8412997414801813,1.0912662972731744,2.8860822223413796,-2.4784139181537563,2.2912911275806604,-0.13113206842151004,1.5862177812698735,9.996278670835258
Kyrie Irving,2021-22,-1.2457872396621605,1.922183562410279,0.15276410368580273,2.5564995509372097,1.1520982600775445,0.09496145777893843,1.9060383280569069,-1.5139181242267177,1.763568710413021,0.3870917788981114,2.77853375500005,9.954034143368986
James Harden,2021-22,0.5437921776234054,1.869477081380816,-0.5715958396612891,1.2954046824388872,0.8774391041077816,1.5244423144445811,4.35614806376809,-3.804595634803436,1.499707501829202,0.3870917788981114,1.8965465963503303,9.87385782637648
Tyrese Haliburton,2021-22,1.1403186500519273,1.5795914357187677,0.20187325238730053,1.0661147063482834,0.6244635657145791,-0.07830894908962449,3.2127635204362037,-1.6344800984675978,2.55515233616448,0.3870917788981114,0.8022291958034556,9.856809393965888
Donovan Mitchell,2021-22,0.6432132563614924,1.4214719926303776,-0.10505892699706072,2.671144538982512,0.7039701634952998,0.008326254344656968,1.6338039129778865,-2.116727995431117,2.0274299189968406,-0.6493559157411314,2.5335373220417945,8.771754521661551
Terry Rozier,2021-22,0.9414764925757534,1.4082953723730127,-0.15416807569855853,2.0979195987560018,0.6967422909697798,0.051643856061797506,1.198228848851454,-0.06717443333615902,1.499707501829202,-0.39024399208132066,1.4555530170254705,8.737980477326435
Devin Booker,2021-22,0.6929237957305359,1.5137083344319389,0.11593224215967937,1.7539846346200956,0.812388251378101,0.3548670680817824,1.3615694978988662,-1.3933561499858378,0.9719850846615633,-0.13113206842151004,2.680535181816748,8.733405872371963
Nikola Vucevic,2021-22,0.9414764925757534,1.3292356508288177,0.20187325238730053,0.2635997900311689,0.03177801862193377,2.953923171110224,0.4904193696460014,-0.7905462787814382,0.7081238760777437,1.4235394735373539,1.1778903930061142,8.731313209040973
Miles Bridges,2021-22,1.2894502681590578,1.6454745370055968,0.4228644215440399,0.8368247302576791,0.3353486646937769,1.2212191024245962,0.8171006677408256,-0.7905462787814382,0.44426266749392435,0.9053156262177325,1.6025508768004235,8.729865283556215
